p,propLabel,eff
http://www.wikidata.org/prop/direct/P640,cote Léonore,1
http://www.wikidata.org/prop/direct/P701,identifiant Documents diplomatiques suisses 1848-1975,1
http://www.wikidata.org/prop/direct/P802,élève,1
http://www.wikidata.org/prop/direct/P803,chaire universitaire,1
http://www.wikidata.org/prop/direct/P800,œuvre notable,1
http://www.wikidata.org/prop/direct/P812,principale spécialité d'étude,1
http://www.wikidata.org/prop/direct/P906,identifiant SELIBR,1
http://www.wikidata.org/prop/direct/P935,galerie Commons,1
http://www.wikidata.org/prop/direct/P949,identifiant Bibliothèque nationale d'Israël,1
http://www.wikidata.org/prop/direct/P1347,classification militaire des victimes,1
http://www.wikidata.org/prop/direct/P1375,identifiant Bibliothèque nationale et universitaire de Zagreb,1
http://www.wikidata.org/prop/direct/P1225,identifiant National Archives and Records Administration,1
http://www.wikidata.org/prop/direct/P1254,identifiant Slovenska biografija,1
http://www.wikidata.org/prop/direct/P1258,identifiant Rotten Tomatoes,1
http://www.wikidata.org/prop/direct/P1266,identifiant AlloCiné nom,1
http://www.wikidata.org/prop/direct/P1284,identifiant Munzinger,1
http://www.wikidata.org/prop/direct/P1411,nommé ou nommée pour,1
http://www.wikidata.org/prop/direct/P1442,image de la tombe,1
http://www.wikidata.org/prop/direct/P1449,surnom,1
http://www.wikidata.org/prop/direct/P1472,palette de créateur Commons,1
http://www.wikidata.org/prop/direct/P1556,identifiant zbMATH d'un auteur,1
http://www.wikidata.org/prop/direct/P1580,identifiant Université de Barcelone (obsolète),1
http://www.wikidata.org/prop/direct/P1596,condamnation,1
http://www.wikidata.org/prop/direct/P1890,identifiant CCAB,1
http://www.wikidata.org/prop/direct/P1712,identifiant Metacritic,1
http://www.wikidata.org/prop/direct/P1728,identifiant AllMusic d'un artiste,1
http://www.wikidata.org/prop/direct/P1741,identifiant Gemeenschappelijke Thesaurus Audiovisuele Archieven,1
http://www.wikidata.org/prop/direct/P1950,second nom de famille dans un nom espagnol,1
http://www.wikidata.org/prop/direct/P2048,hauteur,1
http://www.wikidata.org/prop/direct/P2071,identifiant Mémoire des hommes,1
http://www.wikidata.org/prop/direct/P2168,identifiant Svensk Filmdatabas d'une personne,1
http://www.wikidata.org/prop/direct/P2188,identifiant BiblioNet d'un auteur,1
http://www.wikidata.org/prop/direct/P2332,identifiant Dictionary of Art Historians,1
http://www.wikidata.org/prop/direct/P2373,identifiant Genius d'un artiste,1
http://www.wikidata.org/prop/direct/P2383,identifiant La France savante CTHS,1
http://www.wikidata.org/prop/direct/P2387,identifiant Elonet d'un acteur,1
http://www.wikidata.org/prop/direct/P2435,identifiant PORT d'une personne,1
http://www.wikidata.org/prop/direct/P2519,identifiant Scope.dk d'une personne,1
http://www.wikidata.org/prop/direct/P2604,identifiant Kinopoisk d'une personne,1
http://www.wikidata.org/prop/direct/P2638,identifiant TV.com,1
http://www.wikidata.org/prop/direct/P2639,identifiant Filmportal,1
http://www.wikidata.org/prop/direct/P2650,intéressé(e) par,1
http://www.wikidata.org/prop/direct/P2732,identifiant Persée d'un auteur,1
http://www.wikidata.org/prop/direct/P2924,identifiant de la Grande Encyclopédie russe en ligne,1
http://www.wikidata.org/prop/direct/P2963,identifiant Goodreads d'un auteur,1
http://www.wikidata.org/prop/direct/P3222,identifiant Nationalencyklopedin,1
